Day	TS	VS	VFA	Alk	T	pH	Biogas	CH4	CO2
0	5.71	4.39		7.21	37.56	7.43	0	55.44	38.16
3	7.12	5.4		7.16	37.52	7.42	0	55.46	38.73
5	3.95	2.94		7.04	37.5	7.42	0	55.19	36.97
7	6.75	5.43	5.23	6.87	37.58	7.41	0	55.96	37.58
8			5.98	6.65	37.64	7.39	0	54.54	38.66
9	5.05	3.89	5.98	6.98	37.54	7.22	167.48	54.91	36.27
10	4.56	3.92	6.25	5.87	37.35	6.95	184.86	54.26	36.01
14	4.46	3.52	6.8	5.65	37.22	6.14	1005.59	53.98	36.34
15	5.1	3.91	6.85	5.21	37.16	6.1	2272.68	53.03	33.94
18	6.16	4.94	6.23	4.43	36.99	6.09	5038.49	57.01	42.6
19	6.33	4.96	7.12	5.09	36.84	6.09	6029.02	53.01	39.57
25	5.56	4.09	7.26	4.07	36.81	6.08	4848.42	58.34	41.1
37	4.31	4.74	7.65	8.69	37.15	7.63	5829.21	58.96	40.45
39	3.46	3.13	8.1	6.93	37.42	7.2	4087.28	58.38	41
40	5.23	4.12	7.95	6.98	37.45	7.12	5815.53	55.26	41.91
46	4.91	4.26	7.88	5.07	37.52	6.97	6556.49	55.89	42.53
49	5.83	4.32	7.2	5.85	37.55	6.6	7060.95	55.46	43.22
64	4.57	3.69	7.12	8.89	37.57	7.8	9185.38	53.01	38.77
80	4.95	3.71	6.95	8.93	37.54	7.46	7984.51	54.2	38.47
92	4.49	4.07	6.35	8.74	37.65	7.65	8842.19	54.66	39.87
95	4.54	3.48	6.25	8.89	37.59	7.87	8687.86	50.64	36.92
100			6.53	8.69	37.68	7.68		49.59	36.33
105	3.83	2.95	6.57	8.89	37.52	8.21	6564.16	52.34	36.38
110	4.99	3.79	6.4	9.12	37.5	8.05			
118	4.94	3.82	5.98	8.54	37.55	7.92	7588.35	54.26	36.01
127	4.07	3.09	5.9	8.92	37.53	7.93	6119.49	53.98	36.34
130	4.22	3.31	6.07	8.59	37.62	7.87	7772.94	53.03	33.94
132	4.36	3.33		8.3	37.54	7.44	7471.42	57.01	42.6
137	6.87	5.36	5.15	9.08	37.57	7.91	12671.95	53.01	39.57
138	3.7	2.82	6.15	8.32	37.61	7.8	9900.78	58.34	41.1
139	4.17	2.77	5.32	8.41	37.58	7.79	10529.97	58.96	40.45
141	3.83	2.86	5.4	8.64	37.55	7.76	10449.15	58.38	41
144	3.81	4.62	6.4	8.88	37.58	7.73	11165.88	55.26	41.91
145				8.55	37.57	7.72	9035.85	55.89	42.53
147	5.85	4.51		9.06	37.6	7.71	10906.01	55.46	43.22
152	5.91	4.47	5.07	9.01	37.65	7.64	11050.84	53.05	34.72
154	6.46	5.23	5.23	9.08	37.72	7.64	15074.91	52.56	34.82
159	3.25	2.78	5.15	8.77	37.56	7.64	13892.48	51.55	34.23
162	4.32	3.72	6.07	8.61	37.6	7.63	12789.86	51.29	33.72
166	5.4	4.13	4.95	8.1	37.59	7.65	11572.83	52.49	36.43
175	4.17	3.22	5.65	8.97	37.58	7.66	9400.57	52.76	35.65
186	4.37	3.24		8.44	37.55	7.74	9317.14	54.26	36.01
195	5.28	4.25	5.18	8.59	37.51	7.72	11078.56	53.98	36.34
197	5.43	4.41	5.32	8.43	37.63	7.64	10800.68	53.03	33.94
200	7.48	5.81	5.07	8.56	37.55	7.67	16620.02	57.01	42.6
202	4.75	3.57	5.15	8.69	37.58	7.7	9084.98	53.01	39.57
204	5.58	4.19	5.27	8.44	37.52	7.62	10621.49	58.34	41.1
207	6.14	5.04	5.98	8.44	37.52	7.6	11924.56	58.96	40.45
209	4.53	3.6	5.78	8.97	37.54	7.54	10272.98	58.38	41
211	5.29	4.29	5.65	8.97	37.52	7.68	11729.07	55.26	41.91
214	4.15	2.97	5.9	8.86	37.52	7.62	9685.56	55.89	42.53
216	5.08	3.82	5.9	8.86	37.58	7.6	10505.04	55.46	43.22
218	7.09	5.76	5.07	8.75	37.57	7.64	13929.25	54.26	36.01
221	7.07	5.08	5.85	8.56	37.58	7.6	16891.65	53.98	36.34
223	6.68	5.3	6.07	8.65	37.64	7.56	17712.37	53.03	33.94
225	6.81	4.9	5.67	8.96	37.58	7.54	15644.35	57.01	42.6
230	5.16	3.91	5.15	8.57	37.63	7.52	13542.82	53.01	39.57
232	4.22	3.46	5.4	8.81	37.57	7.47	10031.31	58.34	41.1
235	6.02	4.64	5.36	8.71	37.61	7.5	14406.24	58.96	40.45
237	4.65	3.73	5.45	8.56	37.56	7.5	12026.23	58.38	41
239	6.22	4.46	5.4	8.85	37.59	7.5	14636.98	55.26	41.91
242	8.27	6.33	4.32	8.96	37.55	7.46	17837.61	55.89	42.53
244	4.86	3.72	4.26	8.76	37.53	7.53	16456.05	55.46	43.22
246	6.65	4.94	3.95	8.89	37.58	7.54	15436.58	58.38	41
249			4.06	8.76	37.56	7.54		55.26	41.91
251	6.73	4.94	3.95	8.62	37.57	7.6	12906.33	55.89	42.53
253	6.35	4.85	3.87	8.97	37.55	7.64	16854.05	55.46	43.22
256	6.23	4.8	4	8.6	37.59	7.65	15489.66	54.26	36.01
258	6.03	4.42	3.9	8.7	37.54	7.7	16533.5	53.98	36.34
260	6.77	5.34	3.5	8.83	37.59	7.74	18208.52	53.03	33.94
